Date,Total Cases,New Cases,Days after surpassing 100 cases
31-01-2020,2,2,
01-02-2020,2,0,
02-02-2020,2,0,
03-02-2020,2,0,
04-02-2020,2,0,
05-02-2020,2,0,
06-02-2020,3,1,
07-02-2020,3,0,
08-02-2020,3,0,
09-02-2020,3,0,
10-02-2020,3,0,
11-02-2020,3,0,
12-02-2020,3,0,
13-02-2020,3,0,
14-02-2020,3,0,
15-02-2020,3,0,
15-02-2020,3,0,
16-02-2020,3,0,
17-02-2020,3,0,
18-02-2020,3,0,
19-02-2020,3,0,
20-02-2020,3,0,
21-02-2020,20,17,
22-02-2020,79,59,
23-02-2020,157,78,0
24-02-2020,229,72,1
25-02-2020,323,94,2
26-02-2020,470,147,3
27-02-2020,655,185,4
28-02-2020,889,234,5
29-02-2020,1128,239,6
01-03-2020,1701,573,7
02-03-2020,2036,335,8
03-03-2020,2502,466,9
04-03-2020,3089,587,10
05-03-2020,3858,769,11
06-03-2020,4636,778,12
07-03-2020,5883,1247,13
08-03-2020,7375,1492,14
09-03-2020,9172,1797,15
10-03-2020,10149,977,16
11-03-2020,12462,2313,17
12-03-2020,15113,2651,18
13-03-2020,17660,2547,19
14-03-2020,21157,3497,20
15-03-2020,24747,3590,21
16-03-2020,27980,3233,22
17-03-2020,31506,3526,23
18-03-2020,35713,4207,24
19-03-2020,41035,5322,25
20-03-2020,47021,5986,26
21-03-2020,53578,6557,27
22-03-2020,59138,5560,28
23-03-2020,63927,4789,29
24-03-2020,69176,5249,30
